2019-09-23 11:37:06,247 | model.train | get_logger | INFO | Started log /home/swayam/Desktop/tf2_project/logs/model.train
2019-09-23 11:37:18,232 | model.train | get_data | INFO | Length of text: 10000
2019-09-23 11:37:18,942 | model.train | preprocess_data | INFO | Vocabulary size (Input): 17562
2019-09-23 11:37:18,943 | model.train | preprocess_data | INFO | Vocabulary size (Output): 4183
2019-09-23 11:37:18,943 | model.train | preprocess_data | DEBUG | IP text shape: (8000, 20)
2019-09-23 11:37:18,943 | model.train | preprocess_data | DEBUG | OP text shape: (8000, 20)
2019-09-23 11:37:20,633 | model.train | <module> | INFO | Translating: This waffle and pancake mix is delicious!  You can taste a subtle hint of vanilla in them.  They are the only pancakes/waffles that my kids love and the house smells wonderful when they are cooking!

2019-09-23 11:37:21,924 | model.train | <module> | INFO | 	French: great tasting pancakes and waffles eos 
2019-09-23 11:52:26,048 | model.train | get_logger | INFO | Started log /home/swayam/Desktop/tf2_project/logs/model.train
2019-09-23 11:53:05,853 | model.train | get_data | INFO | Length of text: 10000
2019-09-23 11:53:06,581 | model.train | preprocess_data | INFO | Vocabulary size (Input): 17562
2019-09-23 11:53:06,582 | model.train | preprocess_data | INFO | Vocabulary size (Output): 4183
2019-09-23 11:53:06,582 | model.train | preprocess_data | DEBUG | IP text shape: (8000, 20)
2019-09-23 11:53:06,582 | model.train | preprocess_data | DEBUG | OP text shape: (8000, 20)
2019-09-23 11:55:55,941 | model.train | train | INFO | Loss in epoch 1: 3.0084744528416665
2019-09-23 12:03:17,143 | model.train | get_logger | INFO | Started log /home/swayam/Desktop/tf2_project/logs/model.train
2019-09-23 12:03:21,106 | model.train | get_data | INFO | Length of text: 10000
2019-09-23 12:03:21,822 | model.train | preprocess_data | INFO | Vocabulary size (Input): 17562
2019-09-23 12:03:21,823 | model.train | preprocess_data | INFO | Vocabulary size (Output): 4183
2019-09-23 12:03:21,824 | model.train | preprocess_data | DEBUG | IP text shape: (8000, 20)
2019-09-23 12:03:21,824 | model.train | preprocess_data | DEBUG | OP text shape: (8000, 20)
2019-09-23 12:03:23,567 | model.train | <module> | INFO | Translating: This waffle and pancake mix is delicious!  You can taste a subtle hint of vanilla in them.  They are the only pancakes/waffles that my kids love and the house smells wonderful when they are cooking!

2019-09-23 12:03:24,756 | model.train | <module> | INFO | 	French: great tasting pancakes and waffles eos 
2019-09-23 12:07:00,394 | root | soft_define_alias | ERROR | Invalid alias: The name clear can't be aliased because it is another magic command.
2019-09-23 12:07:00,395 | root | soft_define_alias | ERROR | Invalid alias: The name more can't be aliased because it is another magic command.
2019-09-23 12:07:00,395 | root | soft_define_alias | ERROR | Invalid alias: The name less can't be aliased because it is another magic command.
2019-09-23 12:07:00,396 | root | soft_define_alias | ERROR | Invalid alias: The name man can't be aliased because it is another magic command.
2019-09-23 12:07:04,590 | model.train | get_logger | INFO | Started log /home/swayam/Desktop/tf2_project/logs/model.train
2019-09-23 12:07:07,157 | model.train | get_data | INFO | Length of text: 10000
